name	acc	count
1.10.150.50/FF/4998	1.10.150.50/FF/4998	4
1.10.150.50/FF/510	1.10.150.50/FF/510	11
1.10.150.50/FF/512	1.10.150.50/FF/512	1
1.10.150.50/FF/628	1.10.150.50/FF/628	23
1.10.150.60/FF/112	1.10.150.60/FF/112	35
1.10.150.60/FF/152	1.10.150.60/FF/152	10
1.10.150.60/FF/181	1.10.150.60/FF/181	41
1.10.150.60/FF/222	1.10.150.60/FF/222	55
1.10.150.60/FF/338	1.10.150.60/FF/338	52
1.10.150.60/FF/389	1.10.150.60/FF/389	60
1.10.150.60/FF/401	1.10.150.60/FF/401	62
1.10.150.60/FF/408	1.10.150.60/FF/408	25
1.10.150.60/FF/456	1.10.150.60/FF/456	1
1.10.150.60/FF/484	1.10.150.60/FF/484	52
1.10.150.60/FF/57	1.10.150.60/FF/57	35
1.10.150.60/FF/61	1.10.150.60/FF/61	27
1.10.150.60/FF/742	1.10.150.60/FF/742	56
1.10.150.60/FF/743	1.10.150.60/FF/743	62
1.10.150.60/FF/744	1.10.150.60/FF/744	60
1.10.150.60/FF/751	1.10.150.60/FF/751	66
1.10.150.60/FF/757	1.10.150.60/FF/757	43
1.10.150.60/FF/764	1.10.150.60/FF/764	60
1.10.150.60/FF/766	1.10.150.60/FF/766	55
1.10.150.60/FF/773	1.10.150.60/FF/773	53
1.10.150.60/FF/780	1.10.150.60/FF/780	56
1.10.155.10/FF/1734	1.10.155.10/FF/1734	4
1.10.1600.10/FF/454	1.10.1600.10/FF/454	2
1.10.1630.10/FF/28	1.10.1630.10/FF/28	11
1.10.20.10/FF/10	1.10.20.10/FF/10	5
1.10.20.10/FF/148	1.10.20.10/FF/148	5
1.10.20.10/FF/1960	1.10.20.10/FF/1960	2
1.10.20.10/FF/2752	1.10.20.10/FF/2752	6
1.10.20.10/FF/3043	1.10.20.10/FF/3043	1
1.10.20.10/FF/3143	1.10.20.10/FF/3143	2
1.10.20.10/FF/3288	1.10.20.10/FF/3288	1
1.10.20.10/FF/355	1.10.20.10/FF/355	4
1.10.20.10/FF/391	1.10.20.10/FF/391	4
1.10.20.10/FF/4259	1.10.20.10/FF/4259	19
1.10.20.10/FF/4773	1.10.20.10/FF/4773	7
1.10.20.10/FF/5134	1.10.20.10/FF/5134	3
1.10.20.10/FF/5135	1.10.20.10/FF/5135	3
1.10.20.10/FF/5153	1.10.20.10/FF/5153	3
1.10.20.10/FF/5194	1.10.20.10/FF/5194	3
1.10.20.10/FF/5566	1.10.20.10/FF/5566	10
1.10.20.10/FF/5592	1.10.20.10/FF/5592	4
1.10.20.10/FF/5595	1.10.20.10/FF/5595	4
1.10.20.10/FF/5604	1.10.20.10/FF/5604	11
1.10.20.10/FF/5635	1.10.20.10/FF/5635	9
1.10.20.10/FF/5650	1.10.20.10/FF/5650	2
1.10.20.10/FF/5661	1.10.20.10/FF/5661	3
1.10.20.10/FF/5673	1.10.20.10/FF/5673	5
1.10.20.10/FF/5684	1.10.20.10/FF/5684	7
1.10.20.10/FF/5689	1.10.20.10/FF/5689	3
1.10.20.10/FF/5695	1.10.20.10/FF/5695	4
1.10.20.10/FF/5700	1.10.20.10/FF/5700	9
1.10.20.10/FF/5704	1.10.20.10/FF/5704	10
1.10.20.10/FF/5721	1.10.20.10/FF/5721	4
1.10.20.10/FF/5732	1.10.20.10/FF/5732	4
1.10.20.10/FF/5734	1.10.20.10/FF/5734	3
1.10.20.10/FF/5752	1.10.20.10/FF/5752	8
1.10.20.10/FF/5764	1.10.20.10/FF/5764	6
1.10.20.10/FF/5777	1.10.20.10/FF/5777	13
1.10.20.10/FF/663	1.10.20.10/FF/663	4
1.10.20.10/FF/691	1.10.20.10/FF/691	4
1.10.225.10/FF/1972	1.10.225.10/FF/1972	2
